date,variant,count
2026-07-15,얼굴,2
2026-07-15,좋은분,2
2026-07-16,좋은분,1
2026-07-17,얼굴,2
2026-07-17,좋은분,3
2026-07-18,좋은분,1
2026-07-19,얼굴,1
2026-07-20,얼굴,2
2026-07-20,좋은분,1
2026-07-21,얼굴,4
2026-07-21,좋은분,2
2026-07-22,얼굴,3
2026-07-23,상세형,2
2026-07-23,얼굴,1
2026-07-24,상세형,2
2026-07-25,상세형,4
2026-07-25,얼굴,2
2026-07-26,상세형,4
2026-07-26,얼굴,4
2026-07-27,상세형,5
2026-07-27,얼굴,3
2026-07-28,상세형,4
2026-07-28,얼굴,1
2026-07-29,얼굴,3
2026-07-30,상세형,3
2026-07-30,얼굴,5
2026-07-31,상세형,3
2026-07-31,얼굴,1
2026-08-01,상세형,4
2026-08-01,얼굴,3
2026-08-02,상세형,2
2026-08-02,얼굴,4
2026-08-03,상세형,5
2026-08-03,얼굴,3
2026-08-04,상세형,5
2026-08-04,얼굴,3
2026-08-05,상세형,3
2026-08-06,상세형,1
2026-08-06,얼굴,2
2026-08-07,상세형,3
2026-08-07,얼굴,7
2026-08-08,상세형,2
2026-08-08,얼굴,4
