date,variant,payments,revenue
2026-07-20,260707_고객후기_캐러셀_2,1,20000
2026-07-22,260615_AI_디렉팅_코디,1,20000
2026-07-22,260707_고객후기_캐러셀_2,2,40000
2026-07-26,260615_AI_디렉팅_코디,1,20000
2026-07-26,260707_고객후기_캐러셀_2,1,20000
2026-07-27,260615_AI_디렉팅_코디,1,20000
2026-07-30,260707_고객후기_캐러셀_2,1,20000
2026-07-31,260707_고객후기_캐러셀_2,1,20000
2026-08-01,260707_고객후기_캐러셀_2,2,40000
2026-08-03,260707_고객후기_캐러셀_2,1,20000
2026-08-04,260707_고객후기_캐러셀_2,2,40000
2026-08-06,상세형,1,20000
2026-08-07,260805_고객후기_캐러셀_경령님,1,20000
2026-08-08,260805_고객후기_캐러셀_경령님,1,20000
2026-08-09,260707_고객후기_캐러셀_2,1,20000
2026-08-09,260805_고객후기_캐러셀_경령님,1,20000
2026-08-10,260805_고객후기_캐러셀_경령님,1,20000
2026-08-12,260805_고객후기_캐러셀_경령님,2,40000
2026-08-13,260805_고객후기_캐러셀_경령님,1,20000
2026-08-13,before_after_video_20260727_유민수님,1,20000
2026-08-14,260805_고객후기_캐러셀_경령님,1,20000
2026-08-17,260805_고객후기_캐러셀_경령님,1,20000
2026-08-18,260805_고객후기_캐러셀_경령님,1,20000
2026-08-18,260814_BA 자신감,1,20000
2026-08-19,260615_AI_디렉팅_코디,1,20000
2026-08-19,260805_고객후기_캐러셀_경령님,1,20000
2026-08-20,260805_고객후기_캐러셀_경령님,3,60000
2026-08-21,260805_고객후기_캐러셀_경령님,1,20000
2026-08-23,260805_고객후기_캐러셀_경령님,1,20000
2026-08-24,상세형,2,40000
2026-08-26,260805_고객후기_캐러셀_경령님,1,20000
2026-08-27,260814_BA 자신감,1,20000
2026-08-28,상세형,1,20000
2026-08-29,260615_AI_디렉팅_코디,1,20000
2026-08-29,260805_고객후기_캐러셀_경령님,1,20000
2026-08-30,260814_BA 자신감,1,20000
2026-08-31,260805_고객후기_캐러셀_경령님,1,20000
