date,variant,count
2026-07-15,260707_고객후기_캐러셀_1,1
2026-07-15,260707_고객후기_캐러셀_2,1
2026-07-15,260707_영상_소개팅0표남,1
2026-07-15,좋은분,1
2026-07-16,260707_영상_소개팅0표남,1
2026-07-17,260707_고객후기_캐러셀_1,2
2026-07-17,260707_고객후기_캐러셀_2,3
2026-07-18,260707_고객후기_캐러셀_2,1
2026-07-19,260707_영상_소개팅0표남,1
2026-07-20,260615_AI_디렉팅_코디,1
2026-07-20,260707_고객후기_캐러셀_2,2
2026-07-21,260615_AI_디렉팅_코디,3
2026-07-21,260707_고객후기_캐러셀_2,2
2026-07-21,260707_영상_소개팅0표남,1
2026-07-22,260615_AI_디렉팅_코디,1
2026-07-22,260707_고객후기_캐러셀_2,1
2026-07-22,260707_영상_소개팅0표남,1
2026-07-23,260707_고객후기_캐러셀_1,1
2026-07-23,260707_고객후기_캐러셀_2,2
2026-07-24,260707_고객후기_캐러셀_1,1
2026-07-24,260707_고객후기_캐러셀_2,1
2026-07-25,260615_AI_디렉팅_코디,3
2026-07-25,260707_고객후기_캐러셀_1,1
2026-07-25,260707_고객후기_캐러셀_2,2
2026-07-26,260615_AI_디렉팅_코디,4
2026-07-26,260707_고객후기_캐러셀_1,1
2026-07-26,260707_고객후기_캐러셀_2,2
2026-07-26,260707_영상_소개팅0표남,1
2026-07-27,260615_AI_디렉팅_코디,2
2026-07-27,260707_고객후기_캐러셀_2,3
2026-07-27,before_after_video_20260727_유민수님,3
2026-07-28,260615_AI_디렉팅_코디,2
2026-07-28,260707_고객후기_캐러셀_2,2
2026-07-28,before_after_video_20260727_유민수님,1
2026-07-29,260707_고객후기_캐러셀_2,2
2026-07-29,before_after_video_20260727_유민수님,1
