date,count,memo
2026-07-16,2,구글시트 Daily탭 G열(할인퍼널 DB) 기준
2026-07-17,8,구글시트 Daily탭 G열(할인퍼널 DB) 기준
2026-07-18,1,구글시트 일일기록 탭 기준
2026-07-19,1,구글시트 일일기록 탭 기준
2026-07-20,2,구글시트 일일기록 탭 기준
2026-07-21,6,구글시트 일일기록 탭 기준
2026-07-22,7,구글시트 일일기록 탭 기준
2026-07-23,4,구글시트 일일기록 탭 기준
2026-07-24,3,구글시트 일일기록 탭 기준
2026-07-25,5,구글시트 일일기록 탭 기준
2026-07-26,12,구글시트 일일기록 탭 기준
2026-07-27,12,구글시트 일일기록 탭 기준
2026-07-28,6,구글시트 일일기록 탭 기준
2026-07-29,3,명단·총결제내역 자동집계(인입일 코호트·일일기록 입력 시 대체)
2026-07-30,8,명단·총결제내역 자동집계(인입일 코호트·일일기록 입력 시 대체)
2026-07-31,2,명단·총결제내역 자동집계(인입일 코호트·일일기록 입력 시 대체)
