date,contracts,revenue,landing_id,memo
2026-06-21,1,20000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-06-24,2,3040000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-06-26,1,350000,impact-me,총결제내역 원장(인입일 코호트) 기준
2026-07-01,1,20000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-01,1,1520000,impact-me,총결제내역 원장(인입일 코호트) 기준
2026-07-02,1,1080000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-02,1,390000,impact-me,총결제내역 원장(인입일 코호트) 기준
2026-07-03,2,1390000,impact-me,총결제내역 원장(인입일 코호트) 기준
2026-07-05,1,1850000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-06,2,1910000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-08,1,1040000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-08,1,1000000,threads,총결제내역 원장(인입일 코호트) 기준 · 쓰레드 콘텐츠(광고비 0) · threads_daily.csv 와 중복이므로 합산 시 한쪽만
2026-07-10,1,20000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-13,1,3020000,find-me,총결제내역 원장(인입일 코호트) 기준
2026-07-20,1,1520000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-07-22,3,390000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-07-22,1,20000,threads,총결제내역 원장(인입일 코호트) 기준 · 쓰레드 콘텐츠(광고비 0) · threads_daily.csv 와 중복이므로 합산 시 한쪽만
2026-07-23,1,930000,threads,총결제내역 원장(인입일 코호트) 기준 · 쓰레드 콘텐츠(광고비 0) · threads_daily.csv 와 중복이므로 합산 시 한쪽만
2026-07-26,2,490000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-07-27,1,350000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-07-28,1,70000,threads,총결제내역 원장(인입일 코호트) 기준 · 쓰레드 콘텐츠(광고비 0) · threads_daily.csv 와 중복이므로 합산 시 한쪽만
2026-07-29,1,350000,threads,총결제내역 원장(인입일 코호트) 기준 · 쓰레드 콘텐츠(광고비 0) · threads_daily.csv 와 중복이므로 합산 시 한쪽만
2026-07-30,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-07-31,1,350000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-01,2,1540000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-03,1,1020000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-04,1,800000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-06,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-07,1,70000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-08,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-09,2,2870000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-10,1,2350000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-10,1,440000,story,총결제내역 원장(인입일 코호트) 기준
2026-08-12,2,40000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-13,2,40000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-14,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-16,1,20000,premium,총결제내역 원장(인입일 코호트) 기준
2026-08-17,1,850000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-18,2,3040000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-19,2,1400000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-19,1,350000,premium,총결제내역 원장(인입일 코호트) 기준
2026-08-20,3,1300000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-21,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-23,1,350000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-24,2,1390000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-24,1,20000,threads,총결제내역 원장(인입일 코호트) 기준 · 쓰레드 콘텐츠(광고비 0) · threads_daily.csv 와 중복이므로 합산 시 한쪽만
2026-08-26,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-26,1,350000,premium,총결제내역 원장(인입일 코호트) 기준
2026-08-27,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-28,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-29,2,40000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-29,2,40000,story,총결제내역 원장(인입일 코호트) 기준
2026-08-30,2,40000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-08-31,1,20000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-09-01,4,80000,discount-me,총결제내역 원장(인입일 코호트) 기준
2026-09-01,1,20000,story,총결제내역 원장(인입일 코호트) 기준
