date,db,bookings,payments,revenue,memo
2026-07-08,8,1,1,1000000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-07-09,10,0,0,0,구글시트 Daily탭 D열(쓰레드 DB)/H열(쓰레드 예약 DB) 기준
2026-07-22,1,1,1,20000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-07-23,1,1,1,930000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-07-28,2,1,1,70000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-07-29,1,1,1,350000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-08-17,0,1,1,20000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-08-18,1,0,0,0,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-08-21,1,0,0,0,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
2026-08-24,2,1,1,20000,명단·총결제내역 자동집계(쓰레드 귀속·인입일 코호트)
