date,count,memo
2026-06-25,3,구글시트 Daily탭 E열(진단퍼널) 기준
2026-06-26,2,구글시트 Daily탭 E열(진단퍼널) 기준
2026-06-27,5,구글시트 Daily탭 E열(진단퍼널) 기준
2026-06-28,4,구글시트 Daily탭 E열(진단퍼널) 기준
2026-06-29,5,구글시트 Daily탭 E열(진단퍼널) 기준
2026-06-30,9,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-01,6,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-02,3,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-03,2,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-04,3,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-05,5,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-06,8,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-07,4,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-08,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-09,5,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-10,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-11,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-12,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-13,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-14,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-15,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-16,0,구글시트 Daily탭 E열(진단퍼널) 기준
2026-07-17,0,구글시트 Daily탭 E열(진단퍼널) 기준
